name,description,imageUrl,videoUrl,category
Operative,Morbi a ipsum.,https://furl.net/justo/nec/condimentum.js,http://alibaba.com/proin/risus/praesent/lectus/vestibulum/quam.js,arm
challenge,Suspendisse accumsan tortor quis turpis.,https://feedburner.com/in/sagittis/dui/vel.jpg,http://wired.com/pede/justo/lacinia/eget/tincidunt/eget/tempus.png,arm
systemic,Donec semper sapien a libero.,http://nsw.gov.au/dapibus/duis/at/velit/eu.jsp,http://sciencedirect.com/in/sagittis/dui/vel/nisl/duis.json,upper
modular,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,https://themeforest.net/ullamcorper/augue/a/suscipit/nulla/elit.jsp,http://phoca.cz/semper/rutrum/nulla.js,lower
benchmark,Nullam porttitor lacus at turpis.,http://businesswire.com/magna.json,https://list-manage.com/pede/morbi.json,upper
bottom-line,Duis aliquam convallis nunc.,http://chronoengine.com/facilisi/cras/non/velit.html,https://dion.ne.jp/libero/rutrum/ac/lobortis.jpg,core
contingency,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",http://army.mil/justo.jsp,https://cocolog-nifty.com/sit/amet/cursus.html,full
array,Morbi non quam nec dui luctus rutrum.,https://artisteer.com/convallis/nunc/proin/at/turpis/a/pede.png,https://blogtalkradio.com/nam/ultrices.png,full
Exclusive,Vestibulum ac est lacinia nisi venenatis tristique.,https://pinterest.com/odio/condimentum/id.jsp,https://mozilla.org/vestibulum/sit/amet/cursus/id/turpis.js,arm
Persistent,Nulla mollis molestie lorem.,https://oaic.gov.au/justo/maecenas/rhoncus/aliquam/lacus/morbi/quis.aspx,http://ezinearticles.com/ut/nulla/sed/accumsan/felis.js,core
extranet,Suspendisse accumsan tortor quis turpis. Sed ante.,https://tripadvisor.com/lacus/at/velit/vivamus/vel/nulla/eget.json,http://usnews.com/leo/rhoncus.xml,upper
Graphical User Interface,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,http://nymag.com/consectetuer/adipiscing/elit/proin/risus/praesent/lectus.json,http://goo.ne.jp/lobortis/convallis/tortor.png,lower
Streamlined,Etiam justo. Etiam pretium iaculis justo.,https://comsenz.com/sapien/arcu.json,http://nyu.edu/purus.xml,lower
systematic,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",http://lulu.com/dui/vel/nisl/duis/ac.js,http://domainmarket.com/enim/lorem/ipsum.js,arm
dedicated,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",https://trellian.com/urna.html,http://bigcartel.com/nibh/ligula/nec/sem/duis/aliquam.json,leg
Open-source,Vivamus tortor. Duis mattis egestas metus.,http://quantcast.com/vulputate.jsp,https://theglobeandmail.com/lorem/integer.png,core
Mandatory,Aenean auctor gravida sem.,https://nymag.com/cras/non/velit/nec.jsp,http://youtu.be/ipsum/integer/a/nibh/in/quis/justo.json,upper
global,Nulla suscipit ligula in lacus.,http://tmall.com/elit/sodales/scelerisque/mauris.png,https://moonfruit.com/maecenas.html,full
Streamlined,Suspendisse potenti.,http://time.com/maecenas/tristique/est/et/tempus/semper/est.json,https://soundcloud.com/suscipit/nulla/elit/ac/nulla.html,arm
Open-source,Proin eu mi. Nulla ac enim.,https://clickbank.net/mauris/enim/leo/rhoncus/sed/vestibulum/sit.aspx,https://surveymonkey.com/cubilia/curae/mauris/viverra/diam.xml,upper
Seamless,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",https://quantcast.com/ac/diam/cras/pellentesque/volutpat.html,https://thetimes.co.uk/integer/tincidunt/ante/vel.xml,upper
toolset,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",https://mysql.com/sapien/dignissim/vestibulum/vestibulum/ante/ipsum/primis.json,https://google.co.uk/odio/cras/mi/pede/malesuada.xml,lower
Multi-channelled,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",http://opensource.org/suscipit/a/feugiat/et/eros/vestibulum.png,http://ucsd.edu/in/sagittis/dui/vel.html,core
definition,In hac habitasse platea dictumst.,http://comcast.net/vivamus.json,http://msu.edu/adipiscing/molestie/hendrerit/at/vulputate/vitae.jpg,core
intermediate,Phasellus in felis. Donec semper sapien a libero.,https://sogou.com/fusce/lacus.xml,http://cargocollective.com/proin/leo/odio/porttitor.jsp,lower
support,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",https://foxnews.com/nibh/fusce/lacus/purus/aliquet.xml,https://linkedin.com/vulputate/luctus.png,leg
De-engineered,Morbi vel lectus in quam fringilla rhoncus.,http://hud.gov/tincidunt.js,https://npr.org/etiam/justo/etiam/pretium.html,leg
Enhanced,Etiam faucibus cursus urna. Ut tellus.,http://canalblog.com/lacinia/nisi/venenatis.html,https://simplemachines.org/justo/etiam/pretium/iaculis/justo/in/hac.aspx,arm
Extended,Integer ac leo.,http://eepurl.com/id.jpg,https://stumbleupon.com/sem/sed/sagittis/nam/congue.aspx,core
scalable,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,http://huffingtonpost.com/nec/nisi.jpg,http://discovery.com/etiam/pretium/iaculis/justo/in/hac.png,lower
Universal,Ut tellus. Nulla ut erat id mauris vulputate elementum.,http://blog.com/convallis.jsp,https://mozilla.com/diam/neque.js,upper
actuating,Aliquam quis turpis eget elit sodales scelerisque.,http://ca.gov/maecenas/ut/massa/quis/augue/luctus.jsp,https://facebook.com/morbi.jsp,lower
Fundamental,Cras pellentesque volutpat dui.,http://businessweek.com/est/donec/odio/justo/sollicitudin/ut.jpg,https://about.com/adipiscing/elit/proin/risus/praesent/lectus.jsp,leg
parallelism,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,https://cdbaby.com/ligula/suspendisse/ornare/consequat/lectus.html,http://discovery.com/augue/quam/sollicitudin/vitae.png,full
instruction set,Pellentesque viverra pede ac diam.,https://scribd.com/montes/nascetur/ridiculus/mus/etiam/vel/augue.aspx,https://homestead.com/eu/magna/vulputate/luctus/cum.jpg,full
bi-directional,Nullam varius. Nulla facilisi.,http://bloglines.com/parturient.json,http://icio.us/nullam/porttitor/lacus/at/turpis/donec.json,upper
Mandatory,Nulla mollis molestie lorem. Quisque ut erat.,http://miitbeian.gov.cn/pede.jsp,http://timesonline.co.uk/in/hac/habitasse/platea/dictumst.xml,leg
model,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",https://joomla.org/morbi/vel/lectus.jpg,http://livejournal.com/lacus/morbi/sem/mauris/laoreet.html,leg
function,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",https://tiny.cc/faucibus.jpg,http://vistaprint.com/volutpat/convallis.html,full
encoding,In hac habitasse platea dictumst.,https://biblegateway.com/sit/amet/lobortis.js,https://berkeley.edu/id/ligula/suspendisse/ornare/consequat/lectus/in.jpg,upper
superstructure,Integer ac neque.,https://phoca.cz/turpis/adipiscing.json,https://wp.com/scelerisque/mauris.json,arm
Re-engineered,Vivamus vel nulla eget eros elementum pellentesque.,https://purevolume.com/rutrum.aspx,http://github.com/et/commodo/vulputate/justo.jsp,leg
implementation,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",http://multiply.com/faucibus/cursus.png,https://tuttocitta.it/etiam/vel/augue/vestibulum/rutrum.jpg,full
Team-oriented,Sed vel enim sit amet nunc viverra dapibus.,http://taobao.com/sapien/placerat/ante/nulla/justo/aliquam/quis.jpg,http://freewebs.com/gravida/sem/praesent/id/massa/id/nisl.jsp,lower
frame,Donec ut mauris eget massa tempor convallis.,http://tripadvisor.com/in/ante/vestibulum.png,http://wikimedia.org/augue/aliquam/erat.png,leg
info-mediaries,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",http://free.fr/vel.js,https://answers.com/a/libero/nam/dui/proin.jpg,leg
circuit,In hac habitasse platea dictumst.,http://about.com/ipsum/primis/in.xml,https://oakley.com/morbi/a/ipsum/integer.json,lower
Advanced,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",https://businessweek.com/vel/est/donec.json,https://howstuffworks.com/imperdiet/et/commodo/vulputate/justo.png,arm
reciprocal,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,http://statcounter.com/vulputate/elementum.json,https://toplist.cz/sodales/sed/tincidunt/eu/felis.jpg,arm
executive,Quisque id justo sit amet sapien dignissim vestibulum.,https://si.edu/cursus/vestibulum/proin/eu/mi.aspx,http://dailymotion.com/vulputate/justo/in/blandit.xml,lower
time-frame,Nunc rhoncus dui vel sem. Sed sagittis.,http://domainmarket.com/morbi/porttitor.aspx,http://amazon.co.jp/sed/magna/at/nunc/commodo/placerat.js,lower
intranet,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",https://nba.com/in/faucibus.json,http://jigsy.com/rhoncus/dui/vel/sem/sed/sagittis/nam.xml,arm
database,Vestibulum ac est lacinia nisi venenatis tristique.,http://typepad.com/ornare/consequat/lectus/in/est.jsp,http://list-manage.com/rutrum/ac.json,lower
toolset,Vestibulum sed magna at nunc commodo placerat.,https://mtv.com/dis/parturient/montes/nascetur/ridiculus/mus.jpg,http://boston.com/vel/accumsan.png,leg
process improvement,Donec dapibus.,https://marketwatch.com/luctus/ultricies/eu/nibh/quisque.jsp,https://cnn.com/justo/lacinia/eget/tincidunt/eget/tempus/vel.jsp,leg
application,Maecenas tincidunt lacus at velit.,https://chicagotribune.com/dui/nec/nisi/volutpat/eleifend/donec.js,https://dailymail.co.uk/cubilia/curae/donec/pharetra.xml,leg
Operative,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,https://t-online.de/natoque/penatibus.jsp,http://smugmug.com/nulla/justo/aliquam/quis/turpis/eget/elit.png,lower
asynchronous,In hac habitasse platea dictumst.,https://google.it/massa/volutpat.jpg,http://salon.com/lobortis.jpg,upper
Object-based,Maecenas rhoncus aliquam lacus.,http://irs.gov/in/lectus/pellentesque/at/nulla/suspendisse.aspx,https://narod.ru/non/velit/nec/nisi/vulputate/nonummy/maecenas.jsp,upper
approach,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",https://qq.com/purus/eu/magna.xml,http://imdb.com/vestibulum/ante/ipsum/primis/in/faucibus/orci.xml,arm
Secured,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",https://blogs.com/nam.jsp,http://msn.com/gravida/sem/praesent/id/massa.jsp,leg
project,Proin risus.,http://ustream.tv/maecenas/pulvinar/lobortis/est.xml,http://netlog.com/nulla/neque/libero/convallis/eget/eleifend/luctus.jsp,arm
Organic,Phasellus id sapien in sapien iaculis congue.,http://wp.com/amet/nulla/quisque/arcu/libero.html,https://ow.ly/in/sapien.png,leg
ability,Praesent blandit.,https://umich.edu/maecenas/leo/odio/condimentum/id/luctus.jsp,https://smh.com.au/habitasse/platea/dictumst/aliquam/augue/quam.jpg,leg
web-enabled,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,https://infoseek.co.jp/in/congue/etiam/justo/etiam/pretium/iaculis.json,http://china.com.cn/facilisi/cras/non/velit.jpg,leg
Horizontal,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",https://angelfire.com/sapien/a/libero.html,http://soundcloud.com/nibh/ligula.jsp,arm
24/7,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",http://woothemes.com/nisl/ut/volutpat.xml,http://zdnet.com/amet/turpis/elementum.aspx,core
open architecture,Morbi porttitor lorem id ligula.,http://jimdo.com/cubilia/curae/donec/pharetra/magna.xml,https://amazon.co.uk/mus/vivamus/vestibulum/sagittis.png,arm
project,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",https://scribd.com/vitae/nisi/nam/ultrices/libero/non.xml,http://pinterest.com/nullam.html,upper
User-centric,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",https://e-recht24.de/nulla/ut/erat.xml,https://meetup.com/tempus/sit/amet/sem.json,upper
Proactive,Aliquam quis turpis eget elit sodales scelerisque.,https://bigcartel.com/tortor/quis/turpis/sed/ante.aspx,http://techcrunch.com/elit/ac/nulla/sed.json,full
contingency,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",http://yale.edu/odio/consequat/varius.aspx,https://nbcnews.com/in/consequat/ut/nulla/sed/accumsan/felis.aspx,lower
high-level,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",https://goo.ne.jp/nec/dui/luctus.jpg,http://admin.ch/felis/sed/interdum.xml,full
human-resource,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,http://sourceforge.net/lorem/quisque.json,http://squidoo.com/convallis/tortor/risus/dapibus/augue/vel/accumsan.xml,lower
knowledge base,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",http://yellowbook.com/amet/diam/in/magna/bibendum/imperdiet/nullam.jsp,https://seesaa.net/congue/eget/semper/rutrum/nulla/nunc.jsp,leg
object-oriented,Integer ac leo. Pellentesque ultrices mattis odio.,http://moonfruit.com/porttitor.json,https://webnode.com/nisl/nunc/rhoncus.json,lower
needs-based,Sed ante.,https://blinklist.com/faucibus/orci.png,http://mysql.com/morbi/non/lectus/aliquam/sit/amet/diam.aspx,lower
Fully-configurable,Nulla nisl.,http://technorati.com/morbi/sem/mauris/laoreet/ut.jpg,http://joomla.org/vestibulum/quam/sapien/varius.jsp,upper
6th generation,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,https://foxnews.com/pede/malesuada/in/imperdiet/et/commodo/vulputate.png,https://apache.org/cras.xml,full
Face to face,Morbi non quam nec dui luctus rutrum. Nulla tellus.,http://moonfruit.com/nascetur/ridiculus/mus/etiam/vel.html,http://columbia.edu/phasellus/id/sapien/in/sapien/iaculis.html,core
reciprocal,In hac habitasse platea dictumst.,https://examiner.com/auctor/gravida/sem/praesent/id.png,https://hhs.gov/etiam/faucibus/cursus/urna.xml,leg
Customer-focused,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",http://mediafire.com/nisl/duis/bibendum/felis/sed.aspx,https://fc2.com/eleifend/luctus.jsp,full
local,Sed ante.,https://typepad.com/duis/faucibus/accumsan/odio/curabitur.jsp,https://tmall.com/in.json,arm
clear-thinking,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",https://example.com/et.html,https://nationalgeographic.com/feugiat/et/eros.png,upper
Face to face,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",http://last.fm/eu.json,http://vimeo.com/justo/pellentesque/viverra/pede/ac/diam.jsp,core
Open-architected,Vivamus tortor.,https://google.com.br/interdum/mauris/ullamcorper/purus/sit.xml,https://illinois.edu/condimentum/id/luctus/nec.jsp,full
24 hour,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,http://privacy.gov.au/eu/orci/mauris/lacinia/sapien/quis/libero.html,http://amazonaws.com/pretium/iaculis/justo/in/hac.jpg,core
executive,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",http://intel.com/mauris/vulputate/elementum/nullam/varius/nulla/facilisi.png,https://gravatar.com/lacus/morbi/quis/tortor/id/nulla.jsp,full
system-worthy,Phasellus sit amet erat. Nulla tempus.,http://who.int/nonummy.json,http://webmd.com/dui.html,lower
Re-engineered,Aenean sit amet justo. Morbi ut odio.,https://walmart.com/libero.json,http://hhs.gov/mi/pede/malesuada/in/imperdiet/et/commodo.png,upper
explicit,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",https://bloglines.com/orci.xml,https://nasa.gov/facilisi/cras/non.aspx,core
data-warehouse,Sed ante. Vivamus tortor.,http://nifty.com/orci/mauris/lacinia.html,http://ifeng.com/magna/at/nunc/commodo.js,upper
moderator,Proin risus.,http://a8.net/mattis/odio/donec/vitae/nisi.jsp,https://spotify.com/fusce/congue.html,full
parallelism,Pellentesque ultrices mattis odio. Donec vitae nisi.,https://free.fr/sit/amet/cursus/id/turpis/integer.jsp,https://goodreads.com/ultricies/eu/nibh/quisque/id/justo.xml,arm
